id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
2608,train_data/2608.wav,6248490,Beethoven,Solo Piano,Piano Sonata No 16 in G major,"3. Rondo, allegretto - presto",313,1,12,21,145
2444,train_data/2444.wav,12330632,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,4. Introduzione: Largo...Allegro - Fuga: Allegro risoluto,237,1,12,36,172
2441,train_data/2441.wav,12718498,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,1. Allegro,234,1,12,36,6
2201,train_data/2201.wav,2148311,Bach,Solo Piano,"WTK I, No. 16: Prelude and Fugue in G minor",1. Prelude,113,0,12,101,34
2391,train_data/2391.wav,7574257,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,212,1,12,22,28
2516,train_data/2516.wav,6206694,Beethoven,Solo Piano,Piano Sonata No 2 in A major,4. Rondo: Grazioso,270,1,12,25,184
2229,train_data/2229.wav,3913352,Bach,Solo Piano,"WTK I, No. 20: Prelude and Fugue in A minor",2. Fugue,136,0,12,106,76
2576,train_data/2576.wav,4475507,Beethoven,Solo Piano,Piano Sonata No 8 in C minor,3. Rondo: Allegro,300,1,12,43,146
2404,train_data/2404.wav,6385999,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,1. Moderato cantabile molto espressivo,218,1,12,26,33
2575,train_data/2575.wav,4862120,Beethoven,Solo Piano,Piano Sonata No 8 in C minor,2. Adagio cantabile,299,1,12,43,41
2677,train_data/2677.wav,7124115,Beethoven,Solo Piano,Piano Sonata No 9 in E major,1. Allegro,328,1,12,44,6
2374,train_data/2374.wav,3464464,Beethoven,Solo Piano,Piano Sonata No 19 in G minor,2. Rondo: Allegro,201,1,12,24,94
2678,train_data/2678.wav,7557956,Beethoven,Solo Piano,Piano Sonata No 10 in G major,1. Allegro,329,1,12,15,6
2373,train_data/2373.wav,5097849,Beethoven,Solo Piano,Piano Sonata No 19 in G minor,1. Andante,200,1,12,24,22
2372,train_data/2372.wav,3657143,Beethoven,Solo Piano,Piano Sonata No 9 in E major,3. Rondo - Allegro comodo,199,1,12,44,142
2590,train_data/2590.wav,6251834,Beethoven,Solo Piano,Piano Sonata No 12 in A-flat major,3. Maestoso andante,305,1,12,17,127
2611,train_data/2611.wav,9012036,Beethoven,Solo Piano,Piano Sonata No 7 in D major,2. Largo e mesto,314,1,12,42,84
2591,train_data/2591.wav,2871798,Beethoven,Solo Piano,Piano Sonata No 12 in A-flat major,4. Allegro,306,1,12,17,161
2593,train_data/2593.wav,8206211,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,1. Allegro,307,1,12,23,6
2595,train_data/2595.wav,4923142,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,3. Menuetto. Moderato e grazioso,309,1,12,23,133
2614,train_data/2614.wav,10162678,Beethoven,Solo Piano,Piano Sonata No 7 in D major,2. Largo e mesto,315,1,12,42,84
2594,train_data/2594.wav,5109134,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,2. Scherzo: Allegretto vivace,308,1,12,23,98
2596,train_data/2596.wav,5212787,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,4. Presto,310,1,12,23,177
2292,train_data/2292.wav,1461186,Bach,Solo Piano,"WTK I, No. 19: Prelude and Fugue in A major",1. Prelude,157,0,12,104,34
2473,train_data/2473.wav,5364507,Beethoven,Solo Piano,Piano Sonata No 3 in C major,4. Allegro assai,244,1,12,37,162
2619,train_data/2619.wav,3815968,Beethoven,Solo Piano,Piano Sonata No 6 in F major,2. Allegretto,317,1,12,41,51
2472,train_data/2472.wav,3446492,Beethoven,Solo Piano,Piano Sonata No 3 in C major,3. Scherzo: Allegro,243,1,12,37,152
2200,train_data/2200.wav,1816451,Bach,Solo Piano,"WTK I, No. 16: Prelude and Fugue in G minor",2. Fugue,112,0,12,101,76
1734,train_data/1734.wav,5209862,Schubert,Solo Piano,Piano Sonata in A major,3. Scherzo. Allegro vivace,5,9,12,45,150
2568,train_data/2568.wav,7649489,Beethoven,Solo Piano,Piano Sonata No 27 in E minor,2. Nicht zu geschwind und sehr singbar vorgetragen,294,1,12,34,90
2196,train_data/2196.wav,1207485,Bach,Solo Piano,"WTK I, No. 3: Prelude and Fugue in C-sharp major",1. Prelude,110,0,12,111,34
2194,train_data/2194.wav,1601620,Bach,Solo Piano,"WTK I, No. 13: Prelude and Fugue in F-sharp major",1. Prelude,108,0,12,98,34
2198,train_data/2198.wav,3166877,Bach,Solo Piano,"WTK I, No. 22: Prelude and Fugue in B-flat minor",2. Fugue,111,0,12,108,76
2195,train_data/2195.wav,2481842,Bach,Solo Piano,"WTK I, No. 3: Prelude and Fugue in C-sharp major",2. Fugue,109,0,12,111,76
1735,train_data/1735.wav,11438707,Schubert,Solo Piano,Piano Sonata in A major,4. Rondo. Allegretto,6,9,12,45,179
2564,train_data/2564.wav,8862825,Beethoven,Solo Piano,Piano Sonata No 11 in B-flat major,2. Adagio con molto espressione,291,1,12,16,45
2567,train_data/2567.wav,6194574,Beethoven,Solo Piano,Piano Sonata No 27 in E minor,1. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck,293,1,12,34,31
2208,train_data/2208.wav,1932644,Bach,Solo Piano,"WTK I, No. 10: Prelude and Fugue in E minor",1. Prelude,118,0,12,95,34
2207,train_data/2207.wav,1434018,Bach,Solo Piano,"WTK I, No. 10: Prelude and Fugue in E minor",2. Fugue,117,0,12,95,76
2471,train_data/2471.wav,7256608,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,242,1,12,37,38
1733,train_data/1733.wav,8736183,Schubert,Solo Piano,Piano Sonata in A major,2. Andantino,4,9,12,45,70
2566,train_data/2566.wav,6484219,Beethoven,Solo Piano,Piano Sonata No 11 in B-flat major,4. Rondo: Allegretto,292,1,12,16,182
2248,train_data/2248.wav,1674345,Bach,Solo Piano,"WTK I, No. 9: Prelude and Fugue in E major",1. Prelude,150,0,12,117,34
2405,train_data/2405.wav,2207661,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,2. Allegro molto,219,1,12,26,57
2581,train_data/2581.wav,5531690,Beethoven,Solo Piano,Piano Sonata No 22 in F major,1. tempo d un menuetto,301,1,12,30,37
2620,train_data/2620.wav,2557911,Beethoven,Solo Piano,Piano Sonata No 6 in F major,3. Presto,318,1,12,41,138
2423,train_data/2423.wav,4763481,Beethoven,Solo Piano,Piano Sonata No 1 in F minor,2. Adagio,228,1,12,14,38
2588,train_data/2588.wav,8365872,Beethoven,Solo Piano,Piano Sonata No 12 in A-flat major,1. Andante con variazioni,304,1,12,17,24
2422,train_data/2422.wav,3864869,Beethoven,Solo Piano,Piano Sonata No 1 in F minor,1. Allegro,227,1,12,14,6
2424,train_data/2424.wav,3244200,Beethoven,Solo Piano,Piano Sonata No 1 in F minor,3. Menuetto,229,1,12,14,128
2618,train_data/2618.wav,5826769,Beethoven,Solo Piano,Piano Sonata No 6 in F major,1. Allegro,316,1,12,41,6
2343,train_data/2343.wav,5326054,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,186,1,12,19,2
2240,train_data/2240.wav,1481248,Bach,Solo Piano,"WTK I, No. 17: Prelude and Fugue in A-flat major",1. Prelude,144,0,12,102,34
2212,train_data/2212.wav,2768562,Bach,Solo Piano,"WTK I, No. 12: Prelude and Fugue in F minor",1. Prelude,122,0,12,97,34
2215,train_data/2215.wav,1862845,Bach,Solo Piano,"WTK I, No. 1: Prelude and Fugue in C major",2. Fugue,125,0,12,105,76
2214,train_data/2214.wav,1717395,Bach,Solo Piano,"WTK I, No. 2: Prelude and Fugue in C minor",1. Prelude,124,0,12,110,34
2210,train_data/2210.wav,2853408,Bach,Solo Piano,"WTK I, No. 4: Prelude and Fugue in C-sharp minor",1. Prelude,120,0,12,112,34
2213,train_data/2213.wav,1855739,Bach,Solo Piano,"WTK I, No. 2: Prelude and Fugue in C minor",2. Fugue,123,0,12,110,76
2211,train_data/2211.wav,3795488,Bach,Solo Piano,"WTK I, No. 12: Prelude and Fugue in F minor",2. Fugue,121,0,12,97,76
1749,train_data/1749.wav,11141956,Schubert,Solo Piano,Piano Sonata in A minor,1. Moderato,9,9,12,46,32
2359,train_data/2359.wav,4876330,Beethoven,Solo Piano,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,193,1,12,20,183
2358,train_data/2358.wav,2206825,Beethoven,Solo Piano,Piano Sonata No 15 in D major,3. Scherzo: Allegro vivace,192,1,12,20,155
2230,train_data/2230.wav,1353352,Bach,Solo Piano,"WTK I, No. 20: Prelude and Fugue in A minor",1. Prelude,137,0,12,106,34
2231,train_data/2231.wav,1850306,Bach,Solo Piano,"WTK I, No. 21: Prelude and Fugue in B-flat major",2. Fugue,138,0,12,107,76
2406,train_data/2406.wav,9792784,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,3. Adagio ma non troppo,220,1,12,26,106
2350,train_data/2350.wav,4419919,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,190,1,12,19,2
2232,train_data/2232.wav,1257222,Bach,Solo Piano,"WTK I, No. 21: Prelude and Fugue in B-flat major",1. Prelude,139,0,12,107,34
2514,train_data/2514.wav,6495086,Beethoven,Solo Piano,Piano Sonata No 2 in A major,2. Largo appassionato,269,1,12,25,83
2510,train_data/2510.wav,7233620,Beethoven,Solo Piano,Piano Sonata No 2 in A major,2. Largo appassionato,267,1,12,25,83
2633,train_data/2633.wav,3632066,Beethoven,Solo Piano,Piano Sonata No 10 in G major,3. Scherzo: Allegro assai,326,1,12,15,154
2488,train_data/2488.wav,7060585,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,4. Rondo: Poco allegretto e grazioso,254,1,12,39,186
2632,train_data/2632.wav,5470250,Beethoven,Solo Piano,Piano Sonata No 10 in G major,2. Andante,325,1,12,15,61
2582,train_data/2582.wav,6375550,Beethoven,Solo Piano,Piano Sonata No 22 in F major,2. Allegretto - Piu allegro,302,1,12,30,52
2345,train_data/2345.wav,7088170,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,187,1,12,19,139
2228,train_data/2228.wav,1569437,Bach,Solo Piano,"WTK I, No. 6: Prelude and Fugue in D minor",1. Prelude,135,0,12,114,34
2227,train_data/2227.wav,2070988,Bach,Solo Piano,"WTK I, No. 6: Prelude and Fugue in D minor",2. Fugue,134,0,12,114,76
2224,train_data/2224.wav,1740800,Bach,Solo Piano,"WTK I, No. 7: Prelude and Fugue in E-flat major",2. Fugue,132,0,12,115,76
2530,train_data/2530.wav,8992810,Beethoven,Solo Piano,Piano Sonata No 20 in C minor,1. Maestoso - Allegro con brio ed appassionato,277,1,12,27,30
2225,train_data/2225.wav,3418907,Bach,Solo Piano,"WTK I, No. 7: Prelude and Fugue in E-flat major",1. Prelude,133,0,12,115,34
2388,train_data/2388.wav,7578854,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,209,1,12,22,28
1758,train_data/1758.wav,7494427,Schubert,Solo Piano,Piano Sonata in C minor,2. Adagio,16,9,12,47,38
1756,train_data/1756.wav,5943798,Schubert,Solo Piano,Piano Sonata in A minor,3. Allegro vivace,14,9,12,46,115
1757,train_data/1757.wav,11369744,Schubert,Solo Piano,Piano Sonata in C minor,1. Allegro,15,9,12,47,6
1752,train_data/1752.wav,5803364,Schubert,Solo Piano,Piano Sonata in A minor,4. Rondo. Allegro vivace,12,9,12,46,181
1755,train_data/1755.wav,3676787,Schubert,Solo Piano,Piano Sonata in A minor,2. Andante,13,9,12,46,61
2478,train_data/2478.wav,5107880,Beethoven,Solo Piano,Piano Sonata No 3 in C major,4. Allegro assai,247,1,12,37,162
1751,train_data/1751.wav,7610619,Schubert,Solo Piano,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,11,9,12,46,151
1750,train_data/1750.wav,12546717,Schubert,Solo Piano,Piano Sonata in A minor,2. Andante poco mosso,10,9,12,46,66
2436,train_data/2436.wav,10950113,Beethoven,Solo Piano,Piano Sonata No 21 in C major,1. Allegro con brio,233,1,12,29,9
2346,train_data/2346.wav,5374538,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,188,1,12,19,2
2238,train_data/2238.wav,960053,Bach,Solo Piano,"WTK I, No. 23: Prelude and Fugue in B major",1. Prelude,142,0,12,109,34
2533,train_data/2533.wav,17087426,Beethoven,Solo Piano,Piano Sonata No 20 in C minor,2. Arietta: Adagio,280,1,12,27,71
2239,train_data/2239.wav,1920523,Bach,Solo Piano,"WTK I, No. 17: Prelude and Fugue in A-flat major",2. Fugue,143,0,12,102,76
2234,train_data/2234.wav,1024836,Bach,Solo Piano,"WTK I, No. 11: Prelude and Fugue in F major",1. Prelude,140,0,12,96,34
2237,train_data/2237.wav,1747070,Bach,Solo Piano,"WTK I, No. 23: Prelude and Fugue in B major",2. Fugue,141,0,12,109,76
2371,train_data/2371.wav,3284324,Beethoven,Solo Piano,Piano Sonata No 9 in E major,2. Allegretto,198,1,12,44,51
1768,train_data/1768.wav,4653976,Schubert,Solo Piano,Piano Sonata in A major,2. Andante,23,9,12,45,61
1763,train_data/1763.wav,9605120,Schubert,Solo Piano,4 Impromptus,1. Impromptu in F minor,19,9,12,0,27
1760,train_data/1760.wav,10489104,Schubert,Solo Piano,Piano Sonata in C minor,4. Allegro,18,9,12,47,161
2532,train_data/2532.wav,8774636,Beethoven,Solo Piano,Piano Sonata No 20 in C minor,1. Maestoso - Allegro con brio ed appassionato,279,1,12,27,30
1766,train_data/1766.wav,6837813,Schubert,Solo Piano,4 Impromptus,4. Impromptu in F minor,22,9,12,0,171
2531,train_data/2531.wav,15873672,Beethoven,Solo Piano,Piano Sonata No 20 in C minor,2. Arietta: Adagio,278,1,12,27,71
2209,train_data/2209.wav,2572539,Bach,Solo Piano,"WTK I, No. 4: Prelude and Fugue in C-sharp minor",2. Fugue,119,0,12,112,76
1765,train_data/1765.wav,10825561,Schubert,Solo Piano,4 Impromptus,3. Impromptu in B-flat major,21,9,12,0,124
1764,train_data/1764.wav,7012102,Schubert,Solo Piano,4 Impromptus,2. Impromptu in A-flat major,20,9,12,0,77
2303,test_data/2303.wav,1482502,Bach,Solo Piano,"WTK I, No. 5: Prelude and Fugue in D major",1. Prelude,166,0,12,113,34
2556,test_data/2556.wav,2423328,Beethoven,Solo Piano,Piano Sonata No 30 in E major,2. Prestissimo,287,1,12,38,91
1759,test_data/1759.wav,3114632,Schubert,Solo Piano,Piano Sonata in C minor,3. Menuetto and Trio,17,9,12,47,129
