,id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
65,2443,train_data/2443.wav,16562051,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,3. Adagio sostenuto,236,1,12,36,109
38,2159,train_data/2159.wav,7464334,Brahms,Horn Piano Trio,Horn Trio in E-flat major,2. Scherzo (Allegro),95,2,5,8,95
22,1813,train_data/1813.wav,9471792,Mozart,Clarinet Quintet,Clarinet Quintet in A major,4. Allegretto con variazioni,40,7,3,6,160
55,2377,train_data/2377.wav,12285493,Beethoven,String Quartet,String Quartet No 8 in E minor,2. Molto adagio,203,1,14,76,89
43,2313,train_data/2313.wav,9501885,Beethoven,String Quartet,String Quartet No 15 in A minor,1. Allegro,172,1,14,66,6
11,1765,train_data/1765.wav,10825561,Schubert,Solo Piano,4 Impromptus,3. Impromptu in B-flat major,21,9,12,0,124
10,1763,train_data/1763.wav,9605120,Schubert,Solo Piano,4 Impromptus,1. Impromptu in F minor,19,9,12,0,27
23,1822,train_data/1822.wav,7369341,Mozart,String Quartet,String Quartet No 15 in D minor,1. Allegro moderato,44,7,14,67,14
46,2318,train_data/2318.wav,10270512,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,1. Allegro moderato,175,1,4,82,14
25,1916,train_data/1916.wav,10800381,Dvorak,String Quartet,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,54,4,14,60,12
33,2151,train_data/2151.wav,8533473,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,89,2,7,11,178
74,2505,train_data/2505.wav,7829630,Beethoven,Wind Octet,Octet in E-flat major for Winds,2. Andante,263,1,18,9,61
21,1812,train_data/1812.wav,7457646,Mozart,Clarinet Quintet,Clarinet Quintet in A major,3. Menuetto,39,7,3,6,128
31,2149,train_data/2149.wav,7621068,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,87,2,7,11,78
58,2391,train_data/2391.wav,7574257,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,212,1,12,22,28
8,1758,train_data/1758.wav,7494427,Schubert,Solo Piano,Piano Sonata in C minor,2. Adagio,16,9,12,47,38
77,2523,train_data/2523.wav,8937981,Beethoven,Accompanied Cello,Cello Sonata No. 3 in A major,3. Adagio cantabile - Allegro vivace,273,1,0,2,105
78,2528,train_data/2528.wav,7419612,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,2. Adagio molto,275,1,12,40,49
26,1931,train_data/1931.wav,7544061,Dvorak,String Quartet,String Quartet No 12 in F major,2. Lento,59,4,14,63,86
73,2504,train_data/2504.wav,7366949,Beethoven,Wind Octet,Octet in E-flat major for Winds,1. Allegro,262,1,18,9,6
16,1788,train_data/1788.wav,8211069,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,30,7,14,70,1
5,1750,train_data/1750.wav,12546717,Schubert,Solo Piano,Piano Sonata in A minor,2. Andante poco mosso,10,9,12,46,66
9,1760,train_data/1760.wav,10489104,Schubert,Solo Piano,Piano Sonata in C minor,4. Allegro,18,9,12,47,161
51,2341,train_data/2341.wav,7374054,Beethoven,Accompanied Violin,Violin Sonata No 8 in G major,"2. Tempo di minuetto, ma molto moderato e grazioso",184,1,2,92,102
7,1757,train_data/1757.wav,11369744,Schubert,Solo Piano,Piano Sonata in C minor,1. Allegro,15,9,12,47,6
19,1793,train_data/1793.wav,8078316,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,35,7,14,70,62
48,2322,train_data/2322.wav,10335713,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,178,1,12,31,8
36,2157,train_data/2157.wav,10576458,Brahms,String Sextet,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,93,2,15,80,185
45,2315,train_data/2315.wav,17104562,Beethoven,String Quartet,String Quartet No 15 in A minor,3. Molto Adagio; Andante,174,1,14,66,136
71,2490,train_data/2490.wav,8306939,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",255,1,12,39,85
49,2325,train_data/2325.wav,8821447,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,179,1,12,31,8
20,1811,train_data/1811.wav,7829630,Mozart,Clarinet Quintet,Clarinet Quintet in A major,2. Larghetto,38,7,3,6,79
52,2348,train_data/2348.wav,7899429,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,189,1,12,19,139
30,2148,train_data/2148.wav,13162371,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,1. Allegro,86,2,7,11,6
67,2462,train_data/2462.wav,7830884,Beethoven,Accompanied Violin,Violin Sonata No 4 in A minor,"2. Andante scherzoso, piu allegretto",239,1,2,90,67
4,1749,train_data/1749.wav,11141956,Schubert,Solo Piano,Piano Sonata in A minor,1. Moderato,9,9,12,46,32
60,2398,train_data/2398.wav,14573819,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,2. Andante con variazioni,216,1,2,93,63
28,2127,train_data/2127.wav,8298162,Brahms,Wind and Strings Octet,Serenade No 1 in D Major,2. Scherzo. Allegro non troppo,81,2,20,56,97
