id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
1792,train_data/1792.wav,7564644,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,34,7,14,70,1
1793,train_data/1793.wav,8078316,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,35,7,14,70,62
1811,train_data/1811.wav,7829630,Mozart,Clarinet Quintet,Clarinet Quintet in A major,2. Larghetto,38,7,3,6,79
1812,train_data/1812.wav,7457646,Mozart,Clarinet Quintet,Clarinet Quintet in A major,3. Menuetto,39,7,3,6,128
1813,train_data/1813.wav,9471792,Mozart,Clarinet Quintet,Clarinet Quintet in A major,4. Allegretto con variazioni,40,7,3,6,160
1822,train_data/1822.wav,7369341,Mozart,String Quartet,String Quartet No 15 in D minor,1. Allegro moderato,44,7,14,67,14
1872,train_data/1872.wav,8151458,Mozart,Piano Trio,Piano Trio No 3 in B-flat major,2. Larghetto,50,7,9,50,79
1916,train_data/1916.wav,10800381,Dvorak,String Quartet,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,54,4,14,60,12
1931,train_data/1931.wav,7544061,Dvorak,String Quartet,String Quartet No 12 in F major,2. Lento,59,4,14,63,86
2112,train_data/2112.wav,14360242,Brahms,Accompanied Cello,Cello Sonata No 1 in E minor,1. Allegro non troppo,74,2,0,1,18
2127,train_data/2127.wav,8298162,Brahms,Wind and Strings Octet,Serenade No 1 in D Major,2. Scherzo. Allegro non troppo,81,2,20,56,97
2147,train_data/2147.wav,8028996,Brahms,String Sextet,String Sextet No 2 in G major,4. Poco allegro,85,2,15,81,176
2148,train_data/2148.wav,13162371,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,1. Allegro,86,2,7,11,6
2149,train_data/2149.wav,7621068,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,87,2,7,11,78
2150,train_data/2150.wav,9585476,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,3. Andante con moto,88,2,7,11,119
2151,train_data/2151.wav,8533473,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,89,2,7,11,178
2154,train_data/2154.wav,14307579,Brahms,String Sextet,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,90,2,15,80,12
2155,train_data/2155.wav,9697907,Brahms,String Sextet,String Sextet No 1 in B-flat major,"2. Andante, ma moderato",91,2,15,80,69
2157,train_data/2157.wav,10576458,Brahms,String Sextet,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,93,2,15,80,185
2158,train_data/2158.wav,7714273,Brahms,Horn Piano Trio,Horn Trio in E-flat major,1. Andante,94,2,5,8,22
2159,train_data/2159.wav,7464334,Brahms,Horn Piano Trio,Horn Trio in E-flat major,2. Scherzo (Allegro),95,2,5,8,95
2166,train_data/2166.wav,10228716,Faure,Piano Quartet,Piano Quartet No 2 in G minor,1. Allegro molto moderato,98,5,7,12,17
2177,train_data/2177.wav,7853454,Ravel,String Quartet,String Quartet in F,1. Allegro moderato - tres doux,102,8,14,78,15
2179,train_data/2179.wav,8080823,Ravel,String Quartet,String Quartet in F,3. Tres lent,104,8,14,78,158
2313,train_data/2313.wav,9501885,Beethoven,String Quartet,String Quartet No 15 in A minor,1. Allegro,172,1,14,66,6
2314,train_data/2314.wav,9089777,Beethoven,String Quartet,String Quartet No 15 in A minor,2. Allegro ma non tanto,173,1,14,66,56
2315,train_data/2315.wav,17104562,Beethoven,String Quartet,String Quartet No 15 in A minor,3. Molto Adagio; Andante,174,1,14,66,136
2318,train_data/2318.wav,10270512,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,1. Allegro moderato,175,1,4,82,14
2319,train_data/2319.wav,9934472,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,176,1,4,82,99
2322,train_data/2322.wav,10335713,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,178,1,12,31,8
2325,train_data/2325.wav,8821447,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,179,1,12,31,8
2330,train_data/2330.wav,8514665,Beethoven,Accompanied Violin,Violin Sonata No 1 in D major,1. Allegro con brio,180,1,2,85,9
2341,train_data/2341.wav,7374054,Beethoven,Accompanied Violin,Violin Sonata No 8 in G major,"2. Tempo di minuetto, ma molto moderato e grazioso",184,1,2,92,102
2348,train_data/2348.wav,7899429,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,189,1,12,19,139
2366,train_data/2366.wav,15058652,Beethoven,String Quartet,String Quartet No 12 in E-flat major,"2. Adagio, ma non troppo e molto cantabile",196,1,14,62,50
2376,train_data/2376.wav,9300846,Beethoven,String Quartet,String Quartet No 8 in E minor,1. Allegro,202,1,14,76,6
2377,train_data/2377.wav,12285493,Beethoven,String Quartet,String Quartet No 8 in E minor,2. Molto adagio,203,1,14,76,89
2381,train_data/2381.wav,8968987,Beethoven,String Quartet,String Quartet No 13 in B-flat major,"1. Adagio, ma non troppo - Allegro",205,1,14,64,4
2388,train_data/2388.wav,7578854,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,209,1,12,22,28
2391,train_data/2391.wav,7574257,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,212,1,12,22,28
2397,train_data/2397.wav,9968745,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,1. Adagio sostenuto - Presto,215,1,2,93,3
2398,train_data/2398.wav,14573819,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,2. Andante con variazioni,216,1,2,93,63
2406,train_data/2406.wav,9792784,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,3. Adagio ma non troppo,220,1,12,26,106
2433,train_data/2433.wav,7383667,Beethoven,String Quartet,String Quartet No 16 in F major,"3. Lento assai, cantante e tranquillo",232,1,14,68,126
2436,train_data/2436.wav,10950113,Beethoven,Solo Piano,Piano Sonata No 21 in C major,1. Allegro con brio,233,1,12,29,9
2441,train_data/2441.wav,12718498,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,1. Allegro,234,1,12,36,6
2443,train_data/2443.wav,16562051,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,3. Adagio sostenuto,236,1,12,36,109
2444,train_data/2444.wav,12330632,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,4. Introduzione: Largo...Allegro - Fuga: Allegro risoluto,237,1,12,36,172
2462,train_data/2462.wav,7830884,Beethoven,Accompanied Violin,Violin Sonata No 4 in A minor,"2. Andante scherzoso, piu allegretto",239,1,2,90,67
2471,train_data/2471.wav,7256608,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,242,1,12,37,38
2476,train_data/2476.wav,7590975,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,245,1,12,37,38
2482,train_data/2482.wav,9088523,Beethoven,String Quartet,String Quartet No 5 in A major,3. Andante cantabile (Theme with variations,250,1,14,73,118
2490,train_data/2490.wav,8306939,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",255,1,12,39,85
2492,train_data/2492.wav,7691285,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,4. Rondo: Poco allegretto e grazioso,257,1,12,39,186
2504,train_data/2504.wav,7366949,Beethoven,Wind Octet,Octet in E-flat major for Winds,1. Allegro,262,1,18,9,6
2505,train_data/2505.wav,7829630,Beethoven,Wind Octet,Octet in E-flat major for Winds,2. Andante,263,1,18,9,61
2509,train_data/2509.wav,7749800,Beethoven,Solo Piano,Piano Sonata No 2 in A major,1. Allegro vivace,266,1,12,25,19
2521,train_data/2521.wav,12031485,Beethoven,Accompanied Cello,Cello Sonata No. 3 in A major,1. Allegro ma non tanto,271,1,0,2,11
2523,train_data/2523.wav,8937981,Beethoven,Accompanied Cello,Cello Sonata No. 3 in A major,3. Adagio cantabile - Allegro vivace,273,1,0,2,105
2528,train_data/2528.wav,7419612,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,2. Adagio molto,275,1,12,40,49
